estacion_label,media_global
Estación 40,23.080890610809107
Estación 39,17.836855581190047
Estación 29,17.587080191420515
Estación 36,17.094100712857955
Estación 38,17.059047354781217
Estación 26,16.960428719828407
Estación 37,16.512589750017366
Estación 32,16.197080773101945
