contaminante,unidad,corr_temp_media,corr_precipitacion,corr_viento,corr_presion_max,corr_presion_min
CO,mg/m3,-0.18761987993223353,0.04412431896922699,-0.27308940170910073,0.14230945679848056,0.1408524004469627
NO,µg/m3,-0.2639257900764761,-0.0449557312765782,-0.23717686994834866,0.28386533753516446,0.2697056415674955
NO2,µg/m3,-0.1973194923671639,0.012571191827127966,-0.3185657480181111,0.18752541163067946,0.176268474438545
O3,µg/m3,0.4484622514769664,-0.05516032552902466,0.30090519233392365,-0.23456518245969432,-0.21938821747691875
PM10,µg/m3,0.09576596317751818,-0.03582213442988033,-0.25513451102538537,0.11989443386769823,0.12642050632654708
PM2.5,µg/m3,0.05284505885936464,-0.003185639677247219,-0.36051769455514016,0.1943819270708569,0.19814885640491897
SO2,µg/m3,-0.15389318394369825,-0.06550801492145335,-0.14008367618951698,0.13524055415416822,0.1136087586853855
